target_mlux,formation_name,current_ma,pwm_percent,estimated_mlux,error_mlux,lower_measured_mlux,lower_pwm_percent,upper_measured_mlux,upper_pwm_percent,method
16800,formation_8_highest_light,31,11,16797.0,3.0,15017.0,10,23917.0,15,interpolated
16825,headlight_all_leds,8,22,16830.6,5.6,15301.0,20,19125.0,25,interpolated
16850,headlight_all_leds,5,36,16852.8,2.8,16390.0,35,18704.0,40,interpolated
16875,headlight_all_leds,5,36,16852.8,22.2,16390.0,35,18704.0,40,interpolated
16900,formation_8_highest_light,4,76,16899.8,0.2,16680.0,75,17779.0,80,interpolated
16925,headlight_all_leds,14,13,16933.0,8.0,12883.0,10,19633.0,15,interpolated
16950,formation_8_highest_light,18,17,16949.0,1.0,14915.0,15,20000.0,20,interpolated
16975,formation_8_highest_light,9,33,16978.0,3.0,15445.0,30,18000.0,35,interpolated
17000,headlight_all_leds,6,30,17000.0,0.0,14169.0,25,17000.0,30,interpolated
17025,headlight_all_leds,4,46,17029.2,4.2,16665.0,45,18486.0,50,interpolated
17050,formation_8_highest_light,7,43,17067.8,17.8,15884.0,40,17857.0,45,interpolated
17075,headlight_all_leds,13,14,17072.6,2.4,12059.0,10,18326.0,15,interpolated
17100,headlight_all_leds,17,11,17088.6,11.4,15430.0,10,23723.0,15,interpolated
17125,formation_8_highest_light,4,77,17119.6,5.4,16680.0,75,17779.0,80,interpolated
17150,formation_8_highest_light,12,25,17154.0,4.0,13708.0,20,17154.0,25,interpolated
17175,formation_8_highest_light,10,30,17175.0,0.0,14305.0,25,17175.0,30,interpolated
17200,formation_8_highest_light,14,22,17190.4,9.6,15640.0,20,19516.0,25,interpolated
17225,headlight_all_leds,10,18,17224.4,0.6,14324.0,15,19158.0,20,interpolated
17250,headlight_all_leds,7,26,17272.6,22.6,16611.0,25,19919.0,30,interpolated
17275,headlight_all_leds,7,26,17272.6,2.4,16611.0,25,19919.0,30,interpolated
17300,headlight_all_leds,5,37,17315.6,15.6,16390.0,35,18704.0,40,interpolated
17325,headlight_all_leds,5,37,17315.6,9.4,16390.0,35,18704.0,40,interpolated
17350,formation_8_highest_light,4,78,17339.4,10.6,16680.0,75,17779.0,80,interpolated
17375,formation_8_highest_light,8,38,17365.0,10.0,15997.0,35,18277.0,40,interpolated
17400,headlight_all_leds,4,47,17393.4,6.6,16665.0,45,18486.0,50,interpolated
17425,headlight_all_leds,4,47,17393.4,31.6,16665.0,45,18486.0,50,interpolated
17450,formation_8_highest_light,7,44,17462.4,12.4,15884.0,40,17857.0,45,interpolated
17475,formation_8_highest_light,13,24,17476.8,1.8,14588.0,20,18199.0,25,interpolated
17500,formation_8_highest_light,33,11,17502.4,2.4,15623.0,10,25020.0,15,interpolated
17525,formation_8_highest_light,40,10,17520.0,5.0,17520.0,10,28554.0,15,interpolated
17550,headlight_all_leds,6,31,17558.8,8.8,17000.0,30,19794.0,35,interpolated
17575,formation_8_highest_light,20,16,17572.4,2.6,16437.0,15,22114.0,20,interpolated
17600,headlight_all_leds,8,23,17595.4,4.6,15301.0,20,19125.0,25,interpolated
17625,formation_8_highest_light,6,52,17616.6,8.4,16947.0,50,18621.0,55,interpolated
17650,formation_8_highest_light,29,12,17649.8,0.2,14315.0,10,22652.0,15,interpolated
17675,formation_8_highest_light,5,63,17668.0,7.0,16834.0,60,18224.0,65,interpolated
17700,formation_8_highest_light,26,13,17727.4,27.4,13234.0,10,20723.0,15,interpolated
17725,formation_8_highest_light,26,13,17727.4,2.4,13234.0,10,20723.0,15,interpolated
17750,formation_8_highest_light,10,31,17742.6,7.4,17175.0,30,20013.0,35,interpolated
17775,headlight_all_leds,5,38,17778.4,3.4,16390.0,35,18704.0,40,interpolated
17800,formation_8_highest_light,19,17,17799.4,0.6,15655.0,15,21016.0,20,interpolated
17825,formation_8_highest_light,8,39,17821.0,4.0,15997.0,35,18277.0,40,interpolated
17850,formation_8_highest_light,7,45,17857.0,7.0,15884.0,40,17857.0,45,interpolated
17875,formation_8_highest_light,16,20,17875.0,0.0,13359.0,15,17875.0,20,interpolated
17900,formation_8_highest_light,24,14,17900.6,0.6,12291.0,10,19303.0,15,interpolated
17925,headlight_all_leds,7,27,17934.2,9.2,16611.0,25,19919.0,30,interpolated
17950,formation_8_highest_light,6,53,17951.4,1.4,16947.0,50,18621.0,55,interpolated
17975,formation_8_highest_light,18,18,17966.0,9.0,14915.0,15,20000.0,20,interpolated
18000,formation_8_highest_light,9,35,18000.0,0.0,15445.0,30,18000.0,35,interpolated
18025,headlight_all_leds,18,11,18021.0,4.0,16258.0,10,25073.0,15,interpolated
18050,headlight_all_leds,18,11,18021.0,29.0,16258.0,10,25073.0,15,interpolated
18075,headlight_all_leds,9,21,18091.6,16.6,17223.0,20,21566.0,25,interpolated
18100,headlight_all_leds,9,21,18091.6,8.4,17223.0,20,21566.0,25,interpolated
18125,formation_8_highest_light,30,12,18122.0,3.0,14674.0,10,23294.0,15,interpolated
18150,headlight_all_leds,15,13,18137.2,12.8,13780.0,10,21042.0,15,interpolated
18175,headlight_all_leds,10,19,18191.2,16.2,14324.0,15,19158.0,20,interpolated
18200,formation_8_highest_light,13,25,18199.0,1.0,18199.0,25,21836.0,30,interpolated
18225,formation_8_highest_light,5,65,18224.0,1.0,18224.0,65,19637.0,70,interpolated
18250,formation_8_highest_light,7,46,18254.4,4.4,17857.0,45,19844.0,50,interpolated
18275,formation_8_highest_light,8,40,18277.0,2.0,15997.0,35,18277.0,40,interpolated
18300,formation_8_highest_light,10,32,18310.2,10.2,17175.0,30,20013.0,35,interpolated
18325,headlight_all_leds,13,15,18326.0,1.0,12059.0,10,18326.0,15,interpolated
18350,headlight_all_leds,12,16,18341.6,8.4,17175.0,15,23008.0,20,interpolated
18375,formation_8_highest_light,21,16,18381.6,6.6,17184.0,15,23172.0,20,interpolated
18400,formation_8_highest_light,44,10,18391.0,9.0,18391.0,10,30222.0,15,interpolated
18425,formation_8_highest_light,15,22,18441.4,16.4,16777.0,20,20938.0,25,interpolated
18450,formation_8_highest_light,4,83,18450.4,0.4,17779.0,80,18898.0,85,interpolated
18475,headlight_all_leds,4,50,18486.0,11.0,16665.0,45,18486.0,50,interpolated
18500,formation_8_highest_light,5,66,18506.6,6.6,18224.0,65,19637.0,70,interpolated
18525,formation_8_highest_light,12,27,18520.8,4.2,17154.0,25,20571.0,30,interpolated
18550,formation_8_highest_light,36,11,18543.8,6.2,16517.0,10,26651.0,15,interpolated
18575,formation_8_highest_light,31,12,18577.0,2.0,15017.0,10,23917.0,15,interpolated
18600,formation_8_highest_light,45,10,18597.0,3.0,18597.0,10,30612.0,15,interpolated
18625,formation_8_highest_light,23,15,18626.0,1.0,11893.0,10,18626.0,15,interpolated
18650,formation_8_highest_light,7,47,18651.8,1.8,17857.0,45,19844.0,50,interpolated
18675,formation_8_highest_light,4,84,18674.2,0.8,17779.0,80,18898.0,85,interpolated
18700,headlight_all_leds,5,40,18704.0,4.0,16390.0,35,18704.0,40,interpolated
18725,formation_8_highest_light,8,41,18735.6,10.6,18277.0,40,20570.0,45,interpolated
18750,headlight_all_leds,17,12,18747.2,2.8,15430.0,10,23723.0,15,interpolated
18775,formation_8_highest_light,28,13,18774.8,0.2,13943.0,10,21996.0,15,interpolated
18800,formation_8_highest_light,46,10,18790.0,10.0,18790.0,10,30981.0,15,interpolated
18825,headlight_all_leds,4,51,18853.2,28.2,18486.0,50,20322.0,55,interpolated
18850,headlight_all_leds,4,51,18853.2,3.2,18486.0,50,20322.0,55,interpolated
18875,headlight_all_leds,19,11,18873.0,2.0,17017.0,10,26297.0,15,interpolated
18900,formation_8_highest_light,4,85,18898.0,2.0,18898.0,85,20013.0,90,interpolated
18925,formation_8_highest_light,13,26,18926.4,1.4,18199.0,25,21836.0,30,interpolated
18950,headlight_all_leds,11,18,18946.6,3.4,15754.0,15,21075.0,20,interpolated
18975,formation_8_highest_light,18,19,18983.0,8.0,14915.0,15,20000.0,20,interpolated
19000,formation_8_highest_light,32,12,19015.8,15.8,15349.0,10,24516.0,15,interpolated
19025,formation_8_highest_light,9,37,19033.2,8.2,18000.0,35,20583.0,40,interpolated
19050,formation_8_highest_light,7,48,19049.2,0.8,17857.0,45,19844.0,50,interpolated
